Average Heart Rate,Name,Position,Motion,Heart Rate,Breathing,Clothing_Col,Sleeve_Len,Headgear,Recorded?,Front View,Side View,Kept?
73,2024-10-18-16-38-38,lying_on_back,none,normal,normal,skin_easy_to_detect,short,none,yes,,,yes
74,2024-10-18-16-39-14,lying_on_back,subtle,normal,normal,skin_easy_to_detect,short,none,yes,,,yes
82,2024-10-18-16-39-52,lying_on_back,twitch,normal,normal,skin_easy_to_detect,short,none,yes,,,yes
69,2024-10-18-16-40-49,lying_on_back,none,normal,fast,skin_easy_to_detect,short,none,yes,,,yes
78,2024-10-18-16-47-00,lying_on_back,subtle,normal,fast,skin_easy_to_detect,short,none,yes,,,yes
82,2024-10-18-16-47-53,lying_on_back,twitch,normal,fast,skin_easy_to_detect,short,none,yes,,,yes
68,2024-10-24-16-01-42,lying_on_front,none,normal,slow,skin_easy_to_detect,short,none,,,,yes
78,2024-10-24-16-02-56,lying_on_front,subtle,normal,slow,skin_easy_to_detect,short,none,,,,yes
73,2024-10-24-16-04-09,lying_on_front,twitch,normal,slow,skin_easy_to_detect,short,none,,,,yes
68,2024-10-24-16-05-15,lying_on_front,none,normal,normal,skin_easy_to_detect,short,none,,,,yes
77,2024-10-24-16-07-30,lying_on_front,subtle,normal,normal,skin_easy_to_detect,short,none,,,,yes
76,2024-10-24-16-16-59,lying_on_front,twitch,normal,normal,skin_easy_to_detect,short,none,,,,yes
71,2024-10-24-16-25-22,lying_on_front,none,normal,fast,skin_easy_to_detect,short,none,,,,yes
80,2024-10-24-16-26-27,lying_on_front,subtle,normal,fast,skin_easy_to_detect,short,none,,,,yes
68,2024-10-24-16-27-18,lying_on_front,twitch,normal,fast,skin_easy_to_detect,short,none,,yes,,yes
67,2024-10-24-16-30-33,lying_on_front,none,normal,slow,skin_easy_to_detect,short,none,,,yes,yes
69,2024-10-24-16-31-33,lying_on_front,subtle,normal,slow,skin_easy_to_detect,short,none,,,yes,yes
73,2024-10-24-16-32-17,lying_on_front,twitch,normal,slow,skin_easy_to_detect,short,none,,,yes,yes
69,2024-10-24-16-33-25,lying_on_front,none,normal,normal,skin_easy_to_detect,short,none,,,,yes
71,2024-10-24-16-24-41,lying_on_front,subtle,normal,normal,skin_easy_to_detect,short,none,,,,yes
78,2024-10-24-16-35-34,lying_on_front,twitch,normal,normal,skin_easy_to_detect,short,none,,,,yes
70,2024-10-24-16-37-15,lying_on_front,none,normal,fast,skin_easy_to_detect,short,none,,,,yes
72,2024-10-24-16-38-03,lying_on_front,subtle,normal,fast,skin_easy_to_detect,short,none,,,,yes
89,2024-10-24-16-39-41,lying_on_front,twitch,normal,fast,skin_easy_to_detect,short,none,,,,yes
91,2024-10-24-16-46-31,lying_side,none,normal,slow,skin_easy_to_detect,short,none,yes,yes,,yes
89,2024-10-24-16-48-11,lying_side,subtle,normal,slow,skin_easy_to_detect,short,none,yes,yes,,yes
89,2024-10-24-16-49-22,lying_side,twitch,normal,slow,skin_easy_to_detect,short,none,yes,yes,,yes
75,2024-10-24-16-50-19,lying_side,none,normal,normal,skin_easy_to_detect,short,none,yes,yes,,yes
87,2024-10-24-16-50-22,lying_side,subtle,normal,normal,skin_easy_to_detect,short,none,yes,yes,,yes
82,2024-10-24-16-52-00,lying_side,twitch,normal,normal,skin_easy_to_detect,short,none,yes,yes,,yes
77,2024-10-24-16-53-01,lying_side,none,normal,fast,skin_easy_to_detect,short,none,yes,yes,,yes
85,2024-10-24-16-55-02,lying_side,subtle,normal,fast,skin_easy_to_detect,short,none,yes,yes,,yes
108,2024-10-24-16-55-45,lying_side,twitch,normal,fast,skin_easy_to_detect,short,none,yes,yes,,yes
98,2024-10-24-16-58-59,lying_side,none,normal,slow,skin_easy_to_detect,short,none,yes,no,yes,yes
98,2024-10-24-16-59-48,lying_side,subtle,normal,slow,skin_easy_to_detect,short,none,yes,no,yes,yes
86,2024-10-24-17-00-39,lying_side,twitch,normal,slow,skin_easy_to_detect,short,none,yes,no,yes,yes
76,2024-10-24-17-01-36,lying_side,none,normal,normal,skin_easy_to_detect,short,none,yes,no,yes,yes
93,2024-10-24-17-02-18,lying_side,subtle,normal,normal,skin_easy_to_detect,short,none,yes,no,yes,yes
84,2024-10-24-17-02-56,lying_side,twitch,normal,normal,skin_easy_to_detect,short,none,yes,no,yes,yes
81,2024-10-24-17-03-37,lying_side,none,normal,fast,skin_easy_to_detect,short,none,yes,no,yes,yes
84,2024-10-24-17-04-15,lying_side,subtle,normal,fast,skin_easy_to_detect,short,none,yes,no,yes,yes
81,2024-10-29-13-34-22,sitting_arms_behind_back,none,normal,slow,skin_easy_to_detect,short,none,,yes,,yes
81,2024-10-29-13-35-37,sitting_arms_behind_back,subtle,normal,slow,skin_easy_to_detect,short,none,,yes,,yes
81,2024-10-29-13-36-32,sitting_arms_behind_back,twitch,normal,slow,skin_easy_to_detect,short,none,,yes,,yes
87,2024-10-29-13-37-19,sitting_arms_behind_back,rocking,normal,slow,skin_easy_to_detect,short,none,,yes,,yes
78,2024-10-29-13-38-31,sitting_arms_behind_back,none,normal,normal,skin_easy_to_detect,short,none,,yes,,yes
85,2024-10-29-13-41-02,sitting_arms_behind_back,subtle,normal,normal,skin_easy_to_detect,short,none,,yes,,yes
83,2024-10-29-13-41-57,sitting_arms_behind_back,twitch,normal,normal,skin_easy_to_detect,short,none,,yes,,yes
84,2024-10-29-13-42-49,sitting_arms_behind_back,rocking,normal,normal,skin_easy_to_detect,short,none,,yes,,yes
80,2024-10-29-13-43-39,sitting_arms_behind_back,none,normal,fast,skin_easy_to_detect,short,none,,yes,,yes
87,2024-10-29-13-44-52,sitting_arms_behind_back,subtle,normal,fast,skin_easy_to_detect,short,none,,yes,,yes
90,2024-10-29-13-45-35,sitting_arms_behind_back,twitch,normal,fast,skin_easy_to_detect,short,none,,yes,,yes
89,2024-10-29-13-46-16,sitting_arms_behind_back,rocking,normal,fast,skin_easy_to_detect,short,none,,yes,,yes
78,2024-10-29-13-48-14,sitting_arms_behind_back,none,normal,slow,skin_easy_to_detect,short,none,,,yes,yes
85,2024-10-29-13-49-01,sitting_arms_behind_back,subtle,normal,slow,skin_easy_to_detect,short,none,,,yes,yes
85,2024-10-29-13-49-36,sitting_arms_behind_back,twitch,normal,slow,skin_easy_to_detect,short,none,,,yes,yes
85,2024-10-29-13-50-13,sitting_arms_behind_back,rocking,normal,slow,skin_easy_to_detect,short,none,,,yes,yes
75,2024-10-29-13-50-46,sitting_arms_behind_back,none,normal,normal,skin_easy_to_detect,short,none,,,yes,yes
82,2024-10-29-13-51-23,sitting_arms_behind_back,subtle,normal,normal,skin_easy_to_detect,short,none,,,yes,yes
81,2024-10-29-13-51-58,sitting_arms_behind_back,twitch,normal,normal,skin_easy_to_detect,short,none,,,yes,yes
79,2024-10-29-13-52-31,sitting_arms_behind_back,rocking,normal,normal,skin_easy_to_detect,short,none,,,yes,yes
79,2024-10-29-13-53-08,sitting_arms_behind_back,none,normal,fast,skin_easy_to_detect,short,none,,,yes,yes
82,2024-10-29-13-53-55,sitting_arms_behind_back,subtle,normal,fast,skin_easy_to_detect,short,none,,,yes,yes
88,2024-10-29-13-55-44,sitting_arms_behind_back,twitch,normal,fast,skin_easy_to_detect,short,none,,,yes,yes
85,2024-10-29-13-56-18,sitting_arms_behind_back,rocking,normal,fast,skin_easy_to_detect,short,none,,,yes,yes
78,2024-10-29-14-07-22,sitting_arms_occluding_chest,none,normal,slow,skin_easy_to_detect,short,none,yes,yes,,yes
78,2024-10-29-14-09-45,sitting_arms_occluding_chest,subtle,normal,slow,skin_easy_to_detect,short,none,yes,yes,,yes
79,2024-10-29-14-10-46,sitting_arms_occluding_chest,twitch,normal,slow,skin_easy_to_detect,short,none,yes,yes,,yes
83,2024-10-29-14-11-53,sitting_arms_occluding_chest,rocking,normal,slow,skin_easy_to_detect,short,none,yes,yes,,yes
78,2024-10-29-14-12-46,sitting_arms_occluding_chest,none,normal,normal,skin_easy_to_detect,short,none,yes,yes,,yes
84,2024-10-29-14-14-05,sitting_arms_occluding_chest,subtle,normal,normal,skin_easy_to_detect,short,none,yes,yes,,yes
78,2024-10-29-14-15-13,sitting_arms_occluding_chest,twitch,normal,normal,skin_easy_to_detect,short,none,yes,yes,,yes
94,2024-10-29-14-16-09,sitting_arms_occluding_chest,rocking,normal,normal,skin_easy_to_detect,short,none,yes,yes,,yes
83,2024-10-29-14-17-24,sitting_arms_occluding_chest,none,normal,fast,skin_easy_to_detect,short,none,yes,yes,,yes
81,2024-10-29-14-18-38,sitting_arms_occluding_chest,subtle,normal,fast,skin_easy_to_detect,short,none,yes,yes,,yes
78,2024-10-29-14-19-40,sitting_arms_occluding_chest,twitch,normal,fast,skin_easy_to_detect,short,none,yes,yes,,yes
85,2024-10-29-14-20-53,sitting_arms_occluding_chest,rocking,normal,fast,skin_easy_to_detect,short,none,yes,yes,,yes
72,2024-10-29-14-22-46,sitting_arms_occluding_chest,none,normal,slow,skin_easy_to_detect,short,none,yes,,yes,yes
75,2024-10-29-14-23-36,sitting_arms_occluding_chest,subtle,normal,slow,skin_easy_to_detect,short,none,yes,,yes,yes
73,2024-10-29-14-24-37,sitting_arms_occluding_chest,twitch,normal,slow,skin_easy_to_detect,short,none,yes,,yes,yes
82,2024-10-29-14-25-37,sitting_arms_occluding_chest,rocking,normal,slow,skin_easy_to_detect,short,none,yes,,yes,yes
88,2024-10-29-14-26-51,sitting_arms_occluding_chest,none,normal,normal,skin_easy_to_detect,short,none,yes,,yes,yes
74,2024-10-29-14-28-15,sitting_arms_occluding_chest,subtle,normal,normal,skin_easy_to_detect,short,none,yes,,yes,yes
80,2024-10-29-14-29-18,sitting_arms_occluding_chest,twitch,normal,normal,skin_easy_to_detect,short,none,yes,,yes,yes
72,2024-10-29-14-30-31,sitting_arms_occluding_chest,rocking,normal,normal,skin_easy_to_detect,short,none,yes,,yes,yes
74,2024-10-29-14-31-34,sitting_arms_occluding_chest,none,normal,fast,skin_easy_to_detect,short,none,yes,,yes,yes
73,2024-10-29-14-32-54,sitting_arms_occluding_chest,subtle,normal,fast,skin_easy_to_detect,short,none,yes,,yes,yes
78,2024-10-29-14-34-42,sitting_arms_occluding_chest,twitch,normal,fast,skin_easy_to_detect,short,none,yes,,yes,yes
71,2024-10-29-14-35-31,sitting_arms_occluding_chest,rocking,normal,fast,skin_easy_to_detect,short,none,yes,,yes,yes
63,2024-10-29-14-44-12,lying_on_back,none,normal,slow,skin_easy_to_detect,short,none,,yes,,yes
70,2024-10-29-14-46-01,lying_on_back,subtle,normal,slow,skin_easy_to_detect,short,none,,yes,,yes
65,2024-10-29-14-47-02,lying_on_back,twitch,normal,slow,skin_easy_to_detect,short,none,,yes,,yes
61,2024-10-29-14-48-50,lying_on_back,none,normal,normal,skin_easy_to_detect,short,none,,yes,,yes
69,2024-10-29-14-50-54,lying_on_back,subtle,normal,normal,skin_easy_to_detect,short,none,,yes,,yes
69,2024-10-29-14-55-56,lying_on_back,twitch,normal,normal,skin_easy_to_detect,short,none,,yes,,yes
62,2024-10-29-14-56-55,lying_on_back,none,normal,fast,skin_easy_to_detect,short,none,,yes,,yes
63,2024-10-29-14-57-59,lying_on_back,subtle,normal,fast,skin_easy_to_detect,short,none,,yes,,yes
65,2024-10-29-14-58-55,lying_on_back,twitch,normal,fast,skin_easy_to_detect,short,none,,yes,,yes
61,2024-10-29-15-02-18,lying_on_back,none,normal,slow,skin_easy_to_detect,short,none,,,yes,yes
61,2024-10-29-15-03-21,lying_on_back,subtle,normal,slow,skin_easy_to_detect,short,none,,,yes,yes
61,2024-10-29-15-04-17,lying_on_back,twitch,normal,slow,skin_easy_to_detect,short,none,,,yes,yes
59,2024-10-29-15-05-10,lying_on_back,none,normal,normal,skin_easy_to_detect,short,none,,,yes,yes
63,2024-10-29-15-07-18,lying_on_back,subtle,normal,normal,skin_easy_to_detect,short,none,,,yes,yes
61,2024-10-29-15-08-15,lying_on_back,twitch,normal,normal,skin_easy_to_detect,short,none,,,yes,yes
62,2024-10-29-15-09-17,lying_on_back,none,normal,fast,skin_easy_to_detect,short,none,,,yes,yes
65,2024-10-29-15-10-27,lying_on_back,subtle,normal,fast,skin_easy_to_detect,short,none,,,yes,yes
66,2024-10-29-15-11-35,lying_on_back,twitch,normal,fast,skin_easy_to_detect,short,none,,,yes,yes
